Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),TravelDistance (Meters)
186,"20001, Northwest Washington, Washington",346,"7200 Millwood Court, Bethesda","07/31/2016 - 08/28/2016, Every day, Daily Average",1922,1553,2377,13861
186,"20001, Northwest Washington, Washington",347,"7300 Brennon Lane, Chevy Chase","07/31/2016 - 08/28/2016, Every day, Daily Average",2011,1652,2447,11597
186,"20001, Northwest Washington, Washington",348,"6900 Ridgewood Avenue, Chevy Chase","07/31/2016 - 08/28/2016, Every day, Daily Average",1811,1437,2281,12501
186,"20001, Northwest Washington, Washington",349,"1000 Glacier Avenue, Capitol Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1608,1139,2268,13311
186,"20001, Northwest Washington, Washington",350,"600 Larchmont Avenue, Capitol Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1657,1265,2169,14370
186,"20001, Northwest Washington, Washington",351,"7000 Crail Drive, Bethesda","07/31/2016 - 08/28/2016, Every day, Daily Average",1578,1233,2019,30406
186,"20001, Northwest Washington, Washington",352,"5800 Folgate Court, Capitol Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1825,1306,2548,16344
186,"20001, Northwest Washington, Washington",353,"7500 Wildwood Drive, Takoma Park","07/31/2016 - 08/28/2016, Every day, Daily Average",1860,1377,2511,9564
186,"20001, Northwest Washington, Washington",354,"200 West Mill Avenue, Pepper Mill Village, Capitol Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1933,1517,2462,15503
186,"20001, Northwest Washington, Washington",355,"900 Browning Avenue, Silver Spring","07/31/2016 - 08/28/2016, Every day, Daily Average",1916,1520,2414,11447
186,"20001, Northwest Washington, Washington",356,"0 Montgomery Avenue, Takoma Park","07/31/2016 - 08/28/2016, Every day, Daily Average",1662,1324,2085,8181
186,"20001, Northwest Washington, Washington",357,"5900 J Street, Fairmount Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1585,1123,2235,11501
186,"20001, Northwest Washington, Washington",358,"1000 Carrington Avenue, Capitol Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1694,1233,2326,13309
186,"20001, Northwest Washington, Washington",359,"2400 Pinebrook Avenue, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1486,1032,2138,13200
186,"20001, Northwest Washington, Washington",360,"7700 Burnside Road, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1781,1304,2430,15854
186,"20001, Northwest Washington, Washington",361,"Park Central Road, Riverdale, Greenbelt","07/31/2016 - 08/28/2016, Every day, Daily Average",1463,1090,1962,21901
186,"20001, Northwest Washington, Washington",362,"800 Gregorio Drive, Montgomery Knolls, Silver Spring","07/31/2016 - 08/28/2016, Every day, Daily Average",2390,1729,3303,12755
186,"20001, Northwest Washington, Washington",363,"9600 Newbridge Drive, Potomac","07/31/2016 - 08/28/2016, Every day, Daily Average",1928,1510,2461,35007
